tweet,sentiment
Families caught in the grip of the opioid crisis will be among those hurt most. Why we're fighting #Trumpcare: https://t.co/ICkBenVSjL,1
Wisconsin needs action from Washington to combat the opioid crisis. The @WhiteHouse's Opioid Commission needs to stop stalling and act now. http://pbs.twimg.com/media/DFNm0UBXoAI_fol.jpg http://pbs.twimg.com/media/DFNm2n2XYAAHEjX.jpg,1
I'm heartbroken to see WV families &amp; towns devastated by flooding &amp; storm damage. I've reached out to state officials to see how I can help.,1
#SmoggySkiesAct allows corporate polluters to release dangerous chemicals into our air. This is unacceptable.,1
"#Fakenews that was true:

Flynn lied to VP

Kushner lied on SF86 

Sessions lied to Congress 

@Browns bigly bad (ok, that was never fake)",2
It’s been 45 days since #RichardCollinsIII was murdered. Trump is silent on rise in hate crimes so Congress must act https://theundefeated.com/features/rotc-army-officer-murder-richard-w-collins-university-of-maryland/,1
"RT @madeleine As an immigrant and refugee, I am offended by the travel ban's cruelty. As a grandmother, I am insulted by its ignorance. #NoMuslimBanEver",1
#Trumpbudget guts critical funds for the many families struggling to pay rent – this is unfair and wrong. #OurHomesOurVoices http://pbs.twimg.com/tweet_video_thumb/DFrvl5SXgAUADV-.jpg https://video.twimg.com/tweet_video/DFrvl5SXgAUADV-.mp4,1
"The day after Trump attacks transgender servicemembers on the battlefield, @TheJusticeDept attacks #LGBT individuals in the workplace. (1/2)",1
"""We lose a Delawarean every day to overdose. Under these bills never have so few been so cruel to so many."" Dave Humes, AtTAck addiction",1
"The Senate might vote soon on #TrumpCare - a disaster for Kalpana and others dealing with cancer in their families. 
https://t.co/Brrswzj7kC",1
RT @DailyMirror Teenager charged with murder after father stabbed to death amid spate of knife crime deaths in Birmingham http://www.mirror.co.uk/news/uk-news/teenager-charged-murder-after-father-10767544 http://pbs.twimg.com/media/DEXUs5uXgAQmZRb.jpg,1
"Because of Russian arrogance and @POTUS's inability to level with the American people, we now face the danger of a constitutional crisis.",1
20 GOP Senators represent #Medicaid expansion states. Nowhere to hide if they pass #Trumpcare’s devastating cuts. http://bit.ly/2spto4M,1
"Absolutely shameful! Banning transgender service members hurts troop readiness and morale. Trump's decision was fueled by hate, not facts. https://twitter.com/guardian/status/890202366028525568 QT @guardian Trump says US military will not 'accept or allow' transgender people to serve http://trib.al/r0H8Zqk",1
+58k Americans die by homicide or suicide every year—I intro'd amdt to fund National Violent Death Reporting System to better understand why,1
#Medicaid is last line of defense for states grappling w/ opioid epidemic. Repealing #Medicaid expansion will make this crisis even worse.,1
"Speak out 4 sexual violence survivors, keeping Title IX sexual violence invests public! #DearBetsy we won't go back! http://pbs.twimg.com/media/DEn3eglXsAEwFi_.jpg",1
"R's: He's not loyal. Don't walk the plank for him. Medicaid cuts are unpopular. This whole thing is a loser. Start over, work w D's. https://t.co/xljZa4fHwA QT @costareports As health-care talks stall in the Senate, Pres. Trump looks ahead to possible blame game, should GOP bill fail. https://t.co/KxgQ4pdcyw",1
".@GOP Dems aren’t to blame for Americans losing healthcare its YOUR plan to let ACA fail that hurts millions.

We. Can’t. Let. This. Happen.",1
"Note to dumb as a rock WH adviser: Genuine violence is still violence. Genuine bigotry is still bigotry. Genuine sexism is still sexism. https://twitter.com/politico/status/881759326326706176 QT @politico Trump is ""most genuine president,"" adviser says of tweets http://politi.co/2ufGPXe http://pbs.twimg.com/media/DDyjbwCXkAA5uVG.jpg",1
"RT @NicholsUprising Worst thing that a top Republican did this week? @SpeakerRyan blocked @RepBarbaraLee's amendment to end endless war.
https://www.thenation.com/article/paul-ryan-hands-donald-trump-a-blank-check-for-endless-war/",1
President Abbas must work together w/ PM Netanyahu and King Abdullah to diffuse tensions rather than exploiting tensions for political gain. https://twitter.com/RepTedDeutch/status/889543362176483330 QT @RepTedDeutch Every leader in the civilized world must condemn cruel murder of three members of Salomon family. My statement: http://bit.ly/2gXqHXJ,1
I'm working to stop another burdensome @CFPB rule that would ultimately harm both consumers and job creators: https://go.senate.gov/8XLP.,1
"If there's something that is uniquely made in the USA, it's #resistance against a bad, bad, bad bill when we see it. #madeinamericaweek",1
"AG Sessions threatens to deny @abqpolice money to fight crime, which makes #ABQ less safe. Focus on crime, not a political agenda. https://twitter.com/ericazucco/status/893147462768001024 QT @ericazucco Today's letter to #ABQ from @TheJusticeDept about requirements for federally funded anti-crime program. @kob4 http://pbs.twimg.com/media/DGUY3neUMAEw072.jpg http://pbs.twimg.com/media/DGUY3ngUwAAjSHc.jpg",1
Gutting Medicaid threatens children’s hospitals nationwide—endangering the lives of our most vulnerable children. Terrible!,1
"The 1st @SenateGOP #healthcare plan was bad, their 2nd plan was worse &amp; their 3rd plan is going to be ugly. Keep fighting to #SaveACA!",1
Perry has no moral compass. He will steal NV's water &amp; pollute our air to get Yucca Mtn. https://t.co/mrRhxv8fz7,1
Today we remember those killed in the #AMIA bombing by Iran-backed terrorists. 23 yrs later #Iran remains the world's biggest terror sponsor,1
"As AG, I sued and stopped Obama's amnesty plan. There is no candidate better equipped than I to help @POTUS stop illegal immigration. #ALSEN https://twitter.com/lutherstrange/status/880119171710955520 QT @lutherstrange My plan will build the wall by cutting funding to sanctuary cities and I have co-sponsored legislation to deport criminal illegal aliens. https://twitter.com/lutherstrange/status/880117960546938880",1
"This obscene bill is fatally flawed, something that hammers the middle class so severely can’t be tweaked.",1
RT @bethruzanic @timkaine I will likely lose my healthcare or be forced into a sky high deductible plan. I'm terrified. #AmericaSpeaksOut,1
RT @RepAlGreen It was never about repeal and replace. It was always about kill and erase. Kill Obamacare and erase his legacy. #RepealAndReplaceTrump -AG,1
The #HealthcareBill is especially cruel to Virginians struggling with mental health &amp; substance use disorder,1
"“The treatment to cure Leslie’s cancer was harsh and painful. I watched my daughter struggle daily with bone pain, nausea, chills…”",1
Disappointed Nevadans in the House couldn’t stop their colleagues to waste taxpayer dollars on this failed project. http://bit.ly/2v46HIF,1
"RT @helenprejean I've spent decades advocating against the death penalty. This ""mean"" health care bill would be a death sentence for millions of people.",1
"RT @Reuters_Health Cuts to Medicaid could worsen U.S. opioid crisis, governors warn http://reut.rs/2uoM7Dd",1
Sending my prayers to the families of those killed in the horrific terrorist attack on #AmarnathYatra: http://www.firstpost.com/india/amarnath-yatra-terror-attack-from-mehbooba-mufti-modi-sonia-to-mamata-and-rahul-leaders-express-condemn-assault-3798813.html/amp,1
Appalled (but sadly not surprised) @POTUS would blatantly abandon any American who is willing to serve their country #ProtectTransTroops http://pbs.twimg.com/media/DFrXAxpXcAIymrs.jpg,1
President Trump’s move to ban transgender troops is on the wrong side of national security &amp; the wrong side of history #ProtectTransTroops,1
Glad to see McConnell and Trump having such a hard week. This idea was even worse &amp; would incite chaos. Keep up the pressure! #KillTheBill https://twitter.com/HuffPostPol/status/887354024604950528 QT @HuffPostPol The Senate's new plan to repeal but not replace Obamacare is dead http://huffp.st/kBl1ejg http://pbs.twimg.com/media/DFCDyAKXcAA5t_p.jpg,1
".@RepEliotEngel: Shocking that @StateDept’s #Tillerson won’t spend money set aside to fight #ISIS terror messaging, #Russia propaganda. https://twitter.com/politico/status/892735021055954946 QT @politico Tillerson spurns $80 million to counter ISIS, Russian propaganda   http://politi.co/2u3GUAN http://pbs.twimg.com/media/DGOhxMGXUAAIomL.jpg",1
Our thoughts are also with the emergency &amp; medical teams who were called in response to this tragedy. 2/2,1
Deeply saddened by the tragic Marine Corps plane crash in MS. Thoughts and prayers are with the 16 victims and the many loved ones affected.,1
They may have many versions but any final bill Republicans want us to vote on will badly hurt millions of Americans.,1
This is a very disappointing decision. State should make whole those who were harmed. Read my full statement here: http://bit.ly/2vzsWTx https://twitter.com/jonathanoosting/status/887387457066598400 QT @jonathanoosting Appeals court panel agrees with state: Rules Michigan suit over false unemployment fraud should be tossed. Plaintiffs plan MSC appeal,1
The Bipartisan Task Force to End Sexual Violence is working to combat college sexual assault by increasing #TitleIX transparency. Read more: http://pbs.twimg.com/media/DFwJvAOXgAA6avZ.jpg http://pbs.twimg.com/media/DFwJvhGWAAAHpWC.jpg http://pbs.twimg.com/media/DFwJwFHWAAQToo5.jpg,1
RT @CECCgov Two-year anniversary of Tenzin Deleg Rinpoche's death in prison. See @CECCgov case info http://ppdcecc.gov/QueryResultsDetail.aspx?PrisonerNum=1950 #TenzinDelek #China http://pbs.twimg.com/media/DElckvTXYAIwWQF.jpg,1
"Trumpcare ""would place coverage out of reach &amp; weaken patient protections for millions struggling w addiction. This means more lives lost"" https://t.co/jrCMGjBtWj QT @USATODAY GOP health bill is a disaster for opioid crisis: Column. https://t.co/4zNR5M04qQ via @usatopinion",1
"And while the opioid crisis rages in every corner of the country, this bill woefully underfunds drug treatment and recovery programs.",1
We need an all-hands-on-deck approach to fight back against opioid abuse. #Trumpcare does nothing to help our nation confront the epidemic. https://t.co/7XxcjJnpCN,1
"RT @MichaelLeePope .@RepMcEachin #VA04 says he worries about ""terrible cost to our fisheries, tourism and recreation"" if Conowingo Dam ceases to trap sediment",1
"#VoterSuppression fake commission is a fraud designed to support a big lie. https://twitter.com/thehill/status/883367274530394112 QT @thehill ""Trump’s Voter Fraud Commission is a fraud and should be disbanded now"" http://hill.cm/Oho53Vk http://pbs.twimg.com/media/DEJZ2pmXUAAw-k0.jpg",1
"This skinny bill is not a moderate or modest bill. It is uniquely stupid and awful. It is not merely procedural. It will trash healthcare. https://twitter.com/atul_gawande/status/890198874719211520 QT @Atul_Gawande ""Skinny repeal"" is a known disaster. 
1995: WA state repealed mandate; kept guaranteed issue
1999: no insurers left 
http://bit.ly/2uVGqg2",1
"#Trumpcare means higher health costs, millions of Americans losing coverage, crushing age tax, &amp; stealing from Medicare. No thanks!",1
Criminal illegals have made our communities dangerous. Kate’s Law &amp; No Sanctuary for Criminals put Americans first. https://goo.gl/TJCVgP,1
"It should go without saying, but we have to say it anyway: Donald Trump's vile sexism has no place in our public discourse. http://pbs.twimg.com/media/DDhoq7HXsAAerSE.jpg",1
@SenateGOP @DavidYankovich @AynRandPaulRyan @PattyArquette @MattAsherS @CaptainsLog2017 @GeorgeTakei @BlkMenForBernie @SenCapito @SenatorCollins @SenCoryGardner @SenDeanHeller @lisamurkowski @morethanmySLE @MarkRuffalo .@senrobportman Jackson was born w/ serious &amp; rare birth defects - OEIS &amp; SBS. His parents can't afford his care without a strong #Medicaid. http://pbs.twimg.com/media/DE0In1TXoAEAd_x.jpg,1
RT @FSCDems #ICYMI: @MaxineWaters Op-Ed: Why We Need the @CFPB &amp; Why #Republicans Want It Dead→ https://go.usa.gov/xRWjv http://pbs.twimg.com/media/DFS8RvcXkAAKnfR.jpg,2
"For those re-registering for Haitian TPS, this Monday is the deadline. https://www.uscis.gov/humanitarian/temporary-protected-status http://pbs.twimg.com/media/DFRTxXrXYAMX9Nu.jpg",2
".@realDonaldTrump says he's creating American #jobs but since he took over, 212 Illinois #jobs went overseas. #twill http://pbs.twimg.com/media/DFIF0jLWsAA-MJ9.jpg",2
Today @RepBarbaraLee and I held a press conference with @GroverNorquist to reintroduce our #AuditThePentagon Act of 2017. http://pbs.twimg.com/media/DDWUPlzXUAEtO17.jpg,2
@RepCummings .@RepCummings: Republicans - Put country first. We have got to get to the bottom of this. #RussianHacking #TrumpRussiaInvestigation,2
"Department of Slowly Catching On. From Politico: VP Pence is the Koch brothers' ""beachhead in the administration."" http://www.politico.com/story/2017/06/24/koch-brothers-pence-trump-239928",2
