,ch,chamber,name,party,screen_name,state,type
0,no,house,Blue Collar Caucus,D,BlueCollarDems,,caucus
1,no,house,Blue Dog Coalition,D,HouseBlueDogs,,caucus
2,no,house,Congressional Asian Pacific American Caucus,D,CAPAC,,caucus
3,no,house,Congressional Black Caucus,D,OfficialCBC,,caucus
4,no,house,Congressional Health Caucus,R,HealthCaucus,,caucus
5,no,house,Congressional Pro-Choice Caucus,D,ProChoiceCaucus,,caucus
6,no,house,Congressional Progressive Caucus,D,USProgressives,,caucus
7,no,house,GOP Doctors Caucus,R,gopdoccaucus,,caucus
8,no,house,Hispanic Caucus,D,HispanicCaucus,,caucus
9,no,house,House Freedom Caucus,R,freedomcaucus,,caucus
10,no,house,House Freedom Caucus,R,conversations,,caucus
11,no,house,House Liberty Caucus,R,libertycaucus,,caucus
12,no,house,LGBT Equality Caucus,D,LGBTEqCaucus,,caucus
13,no,house,Republican Study,R,RepublicanStudy Committee,,caucus
14,no,house,Republican Women's Policy Committee,R,LadiesGOP,,caucus
15,no,house,Don Young,R,repdonyoung,AK,member
16,yes,house,Don Young,R,DonYoungAK,AK,member
17,no,house,Bradley Byrne,R,RepByrne,AL,member
18,yes,house,Bradley Byrne,R,BradleyByrne,AL,member
19,no,house,Gary Palmer,R,USRepGaryPalmer,AL,member
20,yes,house,Gary Palmer,R,Palmer4Alabama,AL,member
21,no,house,Martha Roby,R,RepMarthaRoby,AL,member
22,yes,house,Martha Roby,R,TeamRoby,AL,member
23,no,house,Mike Rogers,R,RepMikeRogersAL,AL,member
24,yes,house,Mike Rogers,R,MikeRogersCamp,AL,member
25,no,house,Mo Brooks,R,RepMoBrooks,AL,member
26,no,house,Robert Aderholt,R,Robert_Aderholt,AL,member
27,yes,house,Robert Aderholt,R,CongAderholt,AL,member
28,no,house,Terri Sewell,D,RepTerriSewell,AL,member
29,no,house,Bruce Westerman,R,RepWesterman,AR,member
30,yes,house,Bruce Westerman,R,WestermanAR,AR,member
31,no,house,French Hill,R,RepFrenchHill,AR,member
32,yes,house,French Hill,R,ElectFrench,AR,member
33,no,house,Rick Crawford,R,RepRickCrawford,AR,member
34,yes,house,Rick Crawford,R,Crawford4Cong,AR,member
35,no,house,Steve Womack,R,rep_stevewomack,AR,member
36,yes,house,Steve Womack,R,womack4congress,AR,member
37,no,house,Amata Coleman Radewagen,R,RepAmata,AS,member
38,no,house,Andy Biggs,R,RepAndyBiggsAZ,AZ,member
39,yes,house,Andy Biggs,R,andybiggs4az,AZ,member
40,no,house,David Schweikert,R,RepDavid,AZ,member
41,yes,house,David Schweikert,R,DavidSchweikert,AZ,member
42,no,house,Kyrsten Sinema,D,RepSinema,AZ,member
43,no,house,Martha McSally,R,RepMcSally,AZ,member
44,yes,house,Martha McSally,R,MarthaMcSally,AZ,member
45,no,house,Paul Gosar,R,RepGosar,AZ,member
46,no,house,Raúl Grijalva,D,RepRaulGrijalva,AZ,member
47,yes,house,Raúl Grijalva,D,standwithraul,AZ,member
48,no,house,Ruben Gallego,D,RepRubenGallego,AZ,member
49,yes,house,Ruben Gallego,D,petegallego,AZ,member
50,no,house,Tom O'Halleran,D,RepOHalleran,AZ,member
51,no,house,Trent Franks,R,RepTrentFranks,AZ,member
52,no,house,Adam Schiff,D,RepAdamSchiff,CA,member
53,yes,house,Adam Schiff,D,AdamSchiffCA,CA,member
54,no,house,Alan Lowenthal,D,RepLowenthal,CA,member
55,no,house,Ami Bera,D,RepBera,CA,member
56,yes,house,Ami Bera,D,BeraForCongress,CA,member
57,no,house,Anna Eshoo,D,RepAnnaEshoo,CA,member
58,yes,house,Anna Eshoo,D,Eshoo4Congress,CA,member
59,no,house,Barbara Lee,D,RepBarbaraLee,CA,member
60,yes,house,Barbara Lee,D,BarbaraLeeSays,CA,member
61,no,house,Brad Sherman,D,BradSherman,CA,member
62,no,house,Dana Rohrabacher,R,RepRohrabacher,CA,member
63,yes,house,Dana Rohrabacher,R,DanaRohrabacher,CA,member
64,no,house,Darrell Issa,R,DarrellIssa,CA,member
65,yes,house,Darrell Issa,R,TeamIssa,CA,member
66,no,house,David Valadao,R,RepDavidValadao,CA,member
67,yes,house,David Valadao,R,dgvaladao,CA,member
68,no,house,Devin Nunes,R,Rep_DevinNunes,CA,member
69,no,house,Devin Nunes,R,DevinNunes,CA,member
70,yes,house,Devin Nunes,R,DevinGNunes,CA,member
71,no,house,Doris Matsui,D,DorisMatsui,CA,member
72,yes,house,Doris Matsui,D,Matsui4Congress,CA,member
73,no,house,Doug LaMalfa,R,RepLaMalfa,CA,member
74,yes,house,Doug LaMalfa,R,DougLaMalfa,CA,member
75,no,house,Duncan Hunter,R,Rep_Hunter,CA,member
76,no,house,Ed Royce,R,RepEdRoyce,CA,member
77,yes,house,Ed Royce,R,EdRRoyce,CA,member
78,no,house,Eric Swalwell,D,RepSwalwell,CA,member
79,yes,house,Eric Swalwell,D,ericswalwell,CA,member
80,no,house,Grace Napolitano,D,gracenapolitano,CA,member
81,yes,house,Grace Napolitano,D,grace4congress,CA,member
82,no,house,Jackie Speier,D,RepSpeier,CA,member
83,yes,house,Jackie Speier,D,JackieSpeier,CA,member
84,no,house,Jared Huffman,D,RepHuffman,CA,member
85,yes,house,Jared Huffman,D,JaredHuffman,CA,member
86,no,house,Jeff Denham,R,RepJeffDenham,CA,member
87,yes,house,Jeff Denham,R,JeffDenham,CA,member
88,no,house,Jerry McNerney,D,RepMcNerney,CA,member
89,yes,house,Jerry McNerney,D,jerrymcnerney,CA,member
90,no,house,Jim Costa,D,RepJimCosta,CA,member
91,no,house,Jimmy Gomez,D,RepJimmyGomez,CA,member
92,yes,house,Jimmy Gomez,D,JimmyGomezCA,CA,member
93,no,house,Jimmy Panetta,D,RepJimmyPanetta,CA,member
94,yes,house,Jimmy Panetta,D,JimmyPanetta,CA,member
95,no,house,John Garamendi,D,RepGaramendi,CA,member
96,yes,house,John Garamendi,D,JohnGaramendi,CA,member
97,no,house,Juan Vargas,D,RepJuanVargas,CA,member
98,no,house,Judy Chu,D,RepJudyChu,CA,member
99,yes,house,Judy Chu,D,JudyChuCampaign,CA,member
100,no,house,Julia Brownley,D,JuliaBrownley26,CA,member
101,yes,house,Julia Brownley,D,JuliaBrownley,CA,member
102,no,house,Karen Bass,D,RepKarenBass,CA,member
103,yes,house,Karen Bass,D,KarenBassTweets,CA,member
104,no,house,Ken Calvert,R,KenCalvert,CA,member
105,yes,house,Ken Calvert,R,TeamCalvert,CA,member
106,no,house,Kevin McCarthy,R,GOPLeader,CA,member
107,yes,house,Kevin McCarthy,R,kevinomccarthy,CA,member
108,no,house,Linda Sánchez,D,RepLindaSanchez,CA,member
109,no,house,Lou Correa,D,RepLouCorrea,CA,member
110,no,house,Lucille Roybal-Allard,D,RepRoybalAllard,CA,member
111,yes,house,Lucille Roybal-Allard,D,LRAforCongress,CA,member
112,no,house,Mark DeSaulnier,D,RepDeSaulnier,CA,member
113,yes,house,Mark DeSaulnier,D,MarkDeSaulnier,CA,member
114,no,house,Mark Takano,D,RepMarkTakano,CA,member
115,yes,house,Mark Takano,D,MarkTakano,CA,member
116,no,house,Maxine Waters,D,MaxineWaters,CA,member
117,yes,house,Maxine Waters,D,MaxineWatersLA,CA,member
118,no,house,Mike Thompson,D,RepThompson,CA,member
119,no,house,Mimi Walters,R,RepMimiWalters,CA,member
120,yes,house,Mimi Walters,R,MimiWaltersCA,CA,member
121,no,house,Nancy Pelosi,D,NancyPelosi,CA,member
122,yes,house,Nancy Pelosi,D,TeamPelosi,CA,member
123,no,house,Nanette Barragán,D,RepBarragan,CA,member
124,yes,house,Nanette Barragán,D,Nanette4CA,CA,member
125,no,house,Norma Torres,D,NormaJTorres,CA,member
126,yes,house,Norma Torres,D,Norma4Congress,CA,member
127,no,house,Paul Cook,R,RepPaulCook,CA,member
128,no,house,Pete Aguilar,D,RepPeteAguilar,CA,member
129,yes,house,Pete Aguilar,D,aguilarpete,CA,member
130,no,house,Raul Ruiz,D,CongressmanRuiz,CA,member
131,yes,house,Raul Ruiz,D,Dr_RaulRuiz,CA,member
132,no,house,Ro Khanna,D,RepRoKhanna,CA,member
133,yes,house,Ro Khanna,D,RoKhanna,CA,member
134,no,house,Salud Carbajal,D,RepCarbajal,CA,member
135,yes,house,Salud Carbajal,D,carbajalsalud,CA,member
136,no,house,Scott Peters,D,RepScottPeters,CA,member
137,yes,house,Scott Peters,D,ScottPetersSD,CA,member
138,no,house,Steve Knight,R,SteveKnight25,CA,member
139,yes,house,Steve Knight,R,Knight4Congress,CA,member
