accounts,chamber,id,name,party,state,type
"{'office': [{'id': 234573331, 'id_str': '234573331', 'screen_name': 'HouseAgNews', 'party': 'R'}]}",house,"{'thomas_id': 'HSAG', 'house_committee_id': 'AG', 'tag': 'agriculture'}",House Committee on Agriculture,,,committee
"{'office': [{'id': 30912937, 'id_str': '30912937', 'screen_name': 'AppropsDems', 'party': 'D'}, {'id': 301549400, 'id_str': '301549400', 'screen_name': 'HouseAppropsGOP', 'party': 'R'}]}",house,"{'thomas_id': 'HSAP', 'house_committee_id': 'AP', 'tag': 'appropriations'}",House Committee on Appropriations,,,committee
"{'office': [{'id': 74294786, 'id_str': '74294786', 'screen_name': 'HASCDemocrats', 'party': 'D'}, {'id': 20192403, 'id_str': '20192403', 'screen_name': 'HASCRepublicans', 'party': 'R'}]}",house,"{'thomas_id': 'HSAS', 'house_committee_id': 'AS', 'tag': 'armedservices'}",House Committee on Armed Services,,,committee
"{'office': [{'id': 7004382, 'id_str': '7004382', 'screen_name': 'edworkforcedems', 'party': 'D'}, {'id': 16424044, 'id_str': '16424044', 'screen_name': 'EdWorkforce', 'party': 'R'}]}",house,"{'thomas_id': 'HSED', 'house_committee_id': 'ED', 'tag': 'edworkforce'}",House Committee on Education and the Workforce,,,committee
"{'office': [{'id': 30929600, 'id_str': '30929600', 'screen_name': 'EnergyCommerce', 'party': 'D'}, {'id': 114756202, 'id_str': '114756202', 'screen_name': 'HouseCommerce', 'party': 'R'}]}",house,"{'thomas_id': 'HSIF', 'house_committee_id': 'IF', 'tag': 'energycommerce'}",House Committee on Energy and Commerce,,,committee
"{'office': [{'id': 294084341, 'id_str': '294084341', 'screen_name': 'FSCDems', 'party': 'D'}, {'id': 42924141, 'id_str': '42924141', 'screen_name': 'FinancialCmte', 'party': 'R'}]}",house,"{'thomas_id': 'HSBA', 'house_committee_id': 'BA', 'tag': 'financialservices'}",House Committee on Financial Services,,,committee
"{'office': [{'id': 61206798, 'id_str': '61206798', 'screen_name': 'HFACDemocrats', 'party': 'D'}, {'id': 75367781, 'id_str': '75367781', 'screen_name': 'HouseForeign', 'party': 'R'}]}",house,"{'thomas_id': 'HSFA', 'house_committee_id': 'FA', 'tag': 'foreignaffairs'}",House Committee on Foreign Affairs,,,committee
"{'office': [{'id': 208692908, 'id_str': '208692908', 'screen_name': 'HomelandDems', 'party': 'D'}, {'id': 239964567, 'id_str': '239964567', 'screen_name': 'HouseHomeland', 'party': 'R'}]}",house,"{'thomas_id': 'HSHM', 'house_committee_id': 'HM', 'tag': 'homeland'}",House Committee on Homeland Security,,,committee
"{'office': [{'id': 19716781, 'id_str': '19716781', 'screen_name': 'HouseAdm_Dems', 'party': 'D'}, {'id': 224391627, 'id_str': '224391627', 'screen_name': 'HouseAdmnGOP', 'party': 'R'}]}",house,"{'thomas_id': 'HSHA', 'house_committee_id': 'HA', 'tag': 'cha'}",House Committee on House Administration,,,committee
"{'office': [{'id': 247486443, 'id_str': '247486443', 'screen_name': 'NRDems', 'party': 'D'}, {'id': 41445718, 'id_str': '41445718', 'screen_name': 'NatResources', 'party': 'R'}]}",house,"{'thomas_id': 'HSII', 'house_committee_id': 'II', 'tag': 'naturalresources'}",House Committee on Natural Resources,,,committee
"{'office': [{'id': 31122582, 'id_str': '31122582', 'screen_name': 'OversightDems', 'party': 'D'}, {'id': 22508473, 'id_str': '22508473', 'screen_name': 'GOPoversight', 'party': 'R'}]}",house,"{'thomas_id': 'HSGO', 'house_committee_id': 'GO', 'tag': 'oversight'}",House Committee on Oversight and Government Reform,,,committee
"{'office': [{'id': 78369108, 'id_str': '78369108', 'screen_name': 'RulesReps', 'party': 'R'}]}",house,"{'thomas_id': 'HSRU', 'house_committee_id': 'RU', 'tag': 'rules'}",House Committee on Rules,,,committee
"{'office': [{'id': 22053641, 'id_str': '22053641', 'screen_name': 'SciCmteDems', 'party': 'D'}, {'id': 23103488, 'id_str': '23103488', 'screen_name': 'HouseScience', 'party': 'R'}]}",house,"{'thomas_id': 'HSSY', 'house_committee_id': 'SY', 'tag': 'science'}","House Committee on Science, Space, and Technology",,,committee
"{'office': [{'id': 2978291435, 'id_str': '2978291435', 'screen_name': 'HouseSmallBiz', 'party': 'R'}]}",house,"{'thomas_id': 'HSSM', 'house_committee_id': 'SM', 'tag': 'smallbusiness'}",House Committee on Small Business,,,committee
"{'office': [{'id': 21684013, 'id_str': '21684013', 'screen_name': 'TransportDems', 'party': 'D'}, {'id': 35829796, 'id_str': '35829796', 'screen_name': 'Transport', 'party': 'R'}]}",house,"{'thomas_id': 'HSPW', 'house_committee_id': 'PW', 'tag': 'transportation'}",House Committee on Transportation and Infrastructure,,,committee
