,accounts,chamber,id,name,party,state,type
0,"{'office': [{'id': 817097052375187500, 'id_str': '817097052375187457', 'screen_name': 'BlueCollarDems'}]}",house,,Blue Collar Caucus,D,,caucus
1,"{'office': [{'id': 224685124, 'id_str': '224685124', 'screen_name': 'HouseBlueDogs'}]}",house,,Blue Dog Coalition,D,,caucus
2,"{'office': [{'id': 192955168, 'id_str': '192955168', 'screen_name': 'CAPAC'}]}",house,,Congressional Asian Pacific American Caucus,D,,caucus
3,"{'office': [{'id': 233783568, 'id_str': '233783568', 'screen_name': 'OfficialCBC'}]}",house,,Congressional Black Caucus,D,,caucus
4,"{'office': [{'id': 20020575, 'id_str': '20020575', 'screen_name': 'HealthCaucus'}]}",house,,Congressional Health Caucus,R,,caucus
5,"{'office': [{'id': 809505942186455000, 'id_str': '809505942186455041', 'screen_name': 'ProChoiceCaucus'}]}",house,,Congressional Pro-Choice Caucus,D,,caucus
6,"{'office': [{'id': 246088673, 'id_str': '246088673', 'screen_name': 'USProgressives'}]}",house,,Congressional Progressive Caucus,D,,caucus
7,"{'office': [{'id': 119899270, 'id_str': '119899270', 'screen_name': 'gopdoccaucus'}]}",house,,GOP Doctors Caucus,R,,caucus
8,"{'office': [{'id': 33530012, 'id_str': '33530012', 'screen_name': 'HispanicCaucus'}]}",house,,Hispanic Caucus,D,,caucus
9,"{'office': [{'id': 2990729241, 'id_str': '2990729241', 'screen_name': 'freedomcaucus'}, {'id': 562989744, 'id_str': '562989744', 'screen_name': 'conversations'}]}",house,,House Freedom Caucus,R,,caucus
10,"{'office': [{'id': 426862142, 'id_str': '426862142', 'screen_name': 'libertycaucus'}]}",house,,House Liberty Caucus,R,,caucus
11,"{'office': [{'id': 1392282998, 'id_str': '1392282998', 'screen_name': 'LGBTEqCaucus'}]}",house,,LGBT Equality Caucus,D,,caucus
12,"{'office': [{'id': 22528309, 'id_str': '22528309', 'screen_name': 'RepublicanStudy Committee'}]}",house,,Republican Study,R,,caucus
13,"{'office': [{'id': 1322558402, 'id_str': '1322558402', 'screen_name': 'LadiesGOP'}]}",house,,Republican Women's Policy Committee,R,,caucus
14,"{'office': [{'id': 234573331, 'id_str': '234573331', 'screen_name': 'HouseAgNews', 'party': 'R'}]}",house,"{'thomas_id': 'HSAG', 'house_committee_id': 'AG', 'tag': 'agriculture'}",House Committee on Agriculture,,,committee
15,"{'office': [{'id': 30912937, 'id_str': '30912937', 'screen_name': 'AppropsDems', 'party': 'D'}, {'id': 301549400, 'id_str': '301549400', 'screen_name': 'HouseAppropsGOP', 'party': 'R'}]}",house,"{'thomas_id': 'HSAP', 'house_committee_id': 'AP', 'tag': 'appropriations'}",House Committee on Appropriations,,,committee
16,"{'office': [{'id': 74294786, 'id_str': '74294786', 'screen_name': 'HASCDemocrats', 'party': 'D'}, {'id': 20192403, 'id_str': '20192403', 'screen_name': 'HASCRepublicans', 'party': 'R'}]}",house,"{'thomas_id': 'HSAS', 'house_committee_id': 'AS', 'tag': 'armedservices'}",House Committee on Armed Services,,,committee
17,"{'office': [{'id': 7004382, 'id_str': '7004382', 'screen_name': 'edworkforcedems', 'party': 'D'}, {'id': 16424044, 'id_str': '16424044', 'screen_name': 'EdWorkforce', 'party': 'R'}]}",house,"{'thomas_id': 'HSED', 'house_committee_id': 'ED', 'tag': 'edworkforce'}",House Committee on Education and the Workforce,,,committee
18,"{'office': [{'id': 30929600, 'id_str': '30929600', 'screen_name': 'EnergyCommerce', 'party': 'D'}, {'id': 114756202, 'id_str': '114756202', 'screen_name': 'HouseCommerce', 'party': 'R'}]}",house,"{'thomas_id': 'HSIF', 'house_committee_id': 'IF', 'tag': 'energycommerce'}",House Committee on Energy and Commerce,,,committee
19,"{'office': [{'id': 294084341, 'id_str': '294084341', 'screen_name': 'FSCDems', 'party': 'D'}, {'id': 42924141, 'id_str': '42924141', 'screen_name': 'FinancialCmte', 'party': 'R'}]}",house,"{'thomas_id': 'HSBA', 'house_committee_id': 'BA', 'tag': 'financialservices'}",House Committee on Financial Services,,,committee
20,"{'office': [{'id': 61206798, 'id_str': '61206798', 'screen_name': 'HFACDemocrats', 'party': 'D'}, {'id': 75367781, 'id_str': '75367781', 'screen_name': 'HouseForeign', 'party': 'R'}]}",house,"{'thomas_id': 'HSFA', 'house_committee_id': 'FA', 'tag': 'foreignaffairs'}",House Committee on Foreign Affairs,,,committee
21,"{'office': [{'id': 208692908, 'id_str': '208692908', 'screen_name': 'HomelandDems', 'party': 'D'}, {'id': 239964567, 'id_str': '239964567', 'screen_name': 'HouseHomeland', 'party': 'R'}]}",house,"{'thomas_id': 'HSHM', 'house_committee_id': 'HM', 'tag': 'homeland'}",House Committee on Homeland Security,,,committee
22,"{'office': [{'id': 19716781, 'id_str': '19716781', 'screen_name': 'HouseAdm_Dems', 'party': 'D'}, {'id': 224391627, 'id_str': '224391627', 'screen_name': 'HouseAdmnGOP', 'party': 'R'}]}",house,"{'thomas_id': 'HSHA', 'house_committee_id': 'HA', 'tag': 'cha'}",House Committee on House Administration,,,committee
23,"{'office': [{'id': 247486443, 'id_str': '247486443', 'screen_name': 'NRDems', 'party': 'D'}, {'id': 41445718, 'id_str': '41445718', 'screen_name': 'NatResources', 'party': 'R'}]}",house,"{'thomas_id': 'HSII', 'house_committee_id': 'II', 'tag': 'naturalresources'}",House Committee on Natural Resources,,,committee
