,accounts,ch,chamber,id,name,party,screen_name,state,type
0,"{'office': [{'id': 817097052375187500, 'id_str': '817097052375187457', 'screen_name': 'BlueCollarDems'}], 'index': 0}",no,house,,Blue Collar Caucus,D,BlueCollarDems,,caucus
1,"{'office': [{'id': 224685124, 'id_str': '224685124', 'screen_name': 'HouseBlueDogs'}], 'index': 1}",no,house,,Blue Dog Coalition,D,HouseBlueDogs,,caucus
2,"{'office': [{'id': 192955168, 'id_str': '192955168', 'screen_name': 'CAPAC'}], 'index': 2}",no,house,,Congressional Asian Pacific American Caucus,D,CAPAC,,caucus
3,"{'office': [{'id': 233783568, 'id_str': '233783568', 'screen_name': 'OfficialCBC'}], 'index': 3}",no,house,,Congressional Black Caucus,D,OfficialCBC,,caucus
4,"{'office': [{'id': 20020575, 'id_str': '20020575', 'screen_name': 'HealthCaucus'}], 'index': 4}",no,house,,Congressional Health Caucus,R,HealthCaucus,,caucus
5,"{'office': [{'id': 809505942186455000, 'id_str': '809505942186455041', 'screen_name': 'ProChoiceCaucus'}], 'index': 5}",no,house,,Congressional Pro-Choice Caucus,D,ProChoiceCaucus,,caucus
6,"{'office': [{'id': 246088673, 'id_str': '246088673', 'screen_name': 'USProgressives'}], 'index': 6}",no,house,,Congressional Progressive Caucus,D,USProgressives,,caucus
7,"{'office': [{'id': 119899270, 'id_str': '119899270', 'screen_name': 'gopdoccaucus'}], 'index': 7}",no,house,,GOP Doctors Caucus,R,gopdoccaucus,,caucus
8,"{'office': [{'id': 33530012, 'id_str': '33530012', 'screen_name': 'HispanicCaucus'}], 'index': 8}",no,house,,Hispanic Caucus,D,HispanicCaucus,,caucus
9,"{'office': [{'id': 2990729241, 'id_str': '2990729241', 'screen_name': 'freedomcaucus'}, {'id': 562989744, 'id_str': '562989744', 'screen_name': 'conversations'}], 'index': 9}",no,house,,House Freedom Caucus,R,freedomcaucus,,caucus
10,"{'office': [{'id': 2990729241, 'id_str': '2990729241', 'screen_name': 'freedomcaucus'}, {'id': 562989744, 'id_str': '562989744', 'screen_name': 'conversations'}], 'index': 9}",no,house,,House Freedom Caucus,R,conversations,,caucus
11,"{'office': [{'id': 426862142, 'id_str': '426862142', 'screen_name': 'libertycaucus'}], 'index': 10}",no,house,,House Liberty Caucus,R,libertycaucus,,caucus
12,"{'office': [{'id': 1392282998, 'id_str': '1392282998', 'screen_name': 'LGBTEqCaucus'}], 'index': 11}",no,house,,LGBT Equality Caucus,D,LGBTEqCaucus,,caucus
13,"{'office': [{'id': 22528309, 'id_str': '22528309', 'screen_name': 'RepublicanStudy Committee'}], 'index': 12}",no,house,,Republican Study,R,RepublicanStudy Committee,,caucus
14,"{'office': [{'id': 1322558402, 'id_str': '1322558402', 'screen_name': 'LadiesGOP'}], 'index': 13}",no,house,,Republican Women's Policy Committee,R,LadiesGOP,,caucus
15,"{'office': [{'id': 37007274, 'id_str': '37007274', 'screen_name': 'repdonyoung'}], 'campaign': [{'id': 2559398984, 'id_str': '2559398984', 'screen_name': 'DonYoungAK'}], 'index': 14}",no,house,"{'bioguide': 'Y000033', 'govtrack': 400440}",Don Young,R,repdonyoung,AK,member
16,"{'office': [{'id': 37007274, 'id_str': '37007274', 'screen_name': 'repdonyoung'}], 'campaign': [{'id': 2559398984, 'id_str': '2559398984', 'screen_name': 'DonYoungAK'}], 'index': 14}",yes,house,"{'bioguide': 'Y000033', 'govtrack': 400440}",Don Young,R,DonYoungAK,AK,member
17,"{'office': [{'id': 2253968388, 'id_str': '2253968388', 'screen_name': 'RepByrne'}], 'campaign': [{'id': 42481696, 'id_str': '42481696', 'screen_name': 'BradleyByrne'}], 'index': 15}",no,house,"{'bioguide': 'B001289', 'govtrack': 412601}",Bradley Byrne,R,RepByrne,AL,member
18,"{'office': [{'id': 2253968388, 'id_str': '2253968388', 'screen_name': 'RepByrne'}], 'campaign': [{'id': 42481696, 'id_str': '42481696', 'screen_name': 'BradleyByrne'}], 'index': 15}",yes,house,"{'bioguide': 'B001289', 'govtrack': 412601}",Bradley Byrne,R,BradleyByrne,AL,member
19,"{'office': [{'id': 2861616083, 'id_str': '2861616083', 'screen_name': 'USRepGaryPalmer'}], 'campaign': [{'id': 2296943622, 'id_str': '2296943622', 'screen_name': 'Palmer4Alabama'}], 'index': 16}",no,house,"{'bioguide': 'P000609', 'govtrack': 412608}",Gary Palmer,R,USRepGaryPalmer,AL,member
20,"{'office': [{'id': 2861616083, 'id_str': '2861616083', 'screen_name': 'USRepGaryPalmer'}], 'campaign': [{'id': 2296943622, 'id_str': '2296943622', 'screen_name': 'Palmer4Alabama'}], 'index': 16}",yes,house,"{'bioguide': 'P000609', 'govtrack': 412608}",Gary Palmer,R,Palmer4Alabama,AL,member
21,"{'office': [{'id': 224294785, 'id_str': '224294785', 'screen_name': 'RepMarthaRoby'}], 'campaign': [{'id': 69086398, 'id_str': '69086398', 'screen_name': 'TeamRoby'}], 'index': 17}",no,house,"{'bioguide': 'R000591', 'govtrack': 412394}",Martha Roby,R,RepMarthaRoby,AL,member
22,"{'office': [{'id': 224294785, 'id_str': '224294785', 'screen_name': 'RepMarthaRoby'}], 'campaign': [{'id': 69086398, 'id_str': '69086398', 'screen_name': 'TeamRoby'}], 'index': 17}",yes,house,"{'bioguide': 'R000591', 'govtrack': 412394}",Martha Roby,R,TeamRoby,AL,member
23,"{'office': [{'id': 33977070, 'id_str': '33977070', 'screen_name': 'RepMikeRogersAL'}], 'campaign': [{'id': 76069325, 'id_str': '76069325', 'screen_name': 'MikeRogersCamp'}], 'index': 18}",no,house,"{'bioguide': 'R000575', 'govtrack': 400341}",Mike Rogers,R,RepMikeRogersAL,AL,member
24,"{'office': [{'id': 33977070, 'id_str': '33977070', 'screen_name': 'RepMikeRogersAL'}], 'campaign': [{'id': 76069325, 'id_str': '76069325', 'screen_name': 'MikeRogersCamp'}], 'index': 18}",yes,house,"{'bioguide': 'R000575', 'govtrack': 400341}",Mike Rogers,R,MikeRogersCamp,AL,member
25,"{'office': [{'id': 237299871, 'id_str': '237299871', 'screen_name': 'RepMoBrooks'}], 'index': 19}",no,house,"{'bioguide': 'B001274', 'govtrack': 412395}",Mo Brooks,R,RepMoBrooks,AL,member
26,"{'office': [{'id': 76452765, 'id_str': '76452765', 'screen_name': 'Robert_Aderholt'}], 'campaign': [{'id': 804359648, 'id_str': '804359648', 'screen_name': 'CongAderholt'}], 'index': 20}",no,house,"{'bioguide': 'A000055', 'govtrack': 400004}",Robert Aderholt,R,Robert_Aderholt,AL,member
27,"{'office': [{'id': 76452765, 'id_str': '76452765', 'screen_name': 'Robert_Aderholt'}], 'campaign': [{'id': 804359648, 'id_str': '804359648', 'screen_name': 'CongAderholt'}], 'index': 20}",yes,house,"{'bioguide': 'A000055', 'govtrack': 400004}",Robert Aderholt,R,CongAderholt,AL,member
28,"{'office': [{'id': 381152398, 'id_str': '381152398', 'screen_name': 'RepTerriSewell'}], 'index': 21}",no,house,"{'bioguide': 'S001185', 'govtrack': 412396}",Terri Sewell,D,RepTerriSewell,AL,member
29,"{'office': [{'id': 2852998461, 'id_str': '2852998461', 'screen_name': 'RepWesterman'}], 'campaign': [{'id': 1592481150, 'id_str': '1592481150', 'screen_name': 'WestermanAR'}], 'index': 22}",no,house,"{'bioguide': 'W000821', 'govtrack': 412610}",Bruce Westerman,R,RepWesterman,AR,member
30,"{'office': [{'id': 2852998461, 'id_str': '2852998461', 'screen_name': 'RepWesterman'}], 'campaign': [{'id': 1592481150, 'id_str': '1592481150', 'screen_name': 'WestermanAR'}], 'index': 22}",yes,house,"{'bioguide': 'W000821', 'govtrack': 412610}",Bruce Westerman,R,WestermanAR,AR,member
31,"{'office': [{'id': 2953974395, 'id_str': '2953974395', 'screen_name': 'RepFrenchHill'}], 'campaign': [{'id': 1740229652, 'id_str': '1740229652', 'screen_name': 'ElectFrench'}], 'index': 23}",no,house,"{'bioguide': 'H001072', 'govtrack': 412609}",French Hill,R,RepFrenchHill,AR,member
32,"{'office': [{'id': 2953974395, 'id_str': '2953974395', 'screen_name': 'RepFrenchHill'}], 'campaign': [{'id': 1740229652, 'id_str': '1740229652', 'screen_name': 'ElectFrench'}], 'index': 23}",yes,house,"{'bioguide': 'H001072', 'govtrack': 412609}",French Hill,R,ElectFrench,AR,member
33,"{'office': [{'id': 233693291, 'id_str': '233693291', 'screen_name': 'RepRickCrawford'}], 'campaign': [{'id': 50918998, 'id_str': '50918998', 'screen_name': 'Crawford4Cong'}], 'index': 24}",no,house,"{'bioguide': 'C001087', 'govtrack': 412400}",Rick Crawford,R,RepRickCrawford,AR,member
34,"{'office': [{'id': 233693291, 'id_str': '233693291', 'screen_name': 'RepRickCrawford'}], 'campaign': [{'id': 50918998, 'id_str': '50918998', 'screen_name': 'Crawford4Cong'}], 'index': 24}",yes,house,"{'bioguide': 'C001087', 'govtrack': 412400}",Rick Crawford,R,Crawford4Cong,AR,member
35,"{'office': [{'id': 234469322, 'id_str': '234469322', 'screen_name': 'rep_stevewomack'}], 'campaign': [{'id': 112651673, 'id_str': '112651673', 'screen_name': 'womack4congress'}], 'index': 25}",no,house,"{'bioguide': 'W000809', 'govtrack': 412402}",Steve Womack,R,rep_stevewomack,AR,member
36,"{'office': [{'id': 234469322, 'id_str': '234469322', 'screen_name': 'rep_stevewomack'}], 'campaign': [{'id': 112651673, 'id_str': '112651673', 'screen_name': 'womack4congress'}], 'index': 25}",yes,house,"{'bioguide': 'W000809', 'govtrack': 412402}",Steve Womack,R,womack4congress,AR,member
37,"{'office': [{'id': 3026622545, 'id_str': '3026622545', 'screen_name': 'RepAmata'}], 'index': 26}",no,house,"{'bioguide': 'R000600', 'govtrack': 412664}",Amata Coleman Radewagen,R,RepAmata,AS,member
38,"{'office': [{'id': 816652616625168400, 'id_str': '816652616625168388', 'screen_name': 'RepAndyBiggsAZ'}], 'campaign': [{'id': 702601370344403000, 'id_str': '702601370344402944', 'screen_name': 'andybiggs4az'}], 'index': 27}",no,house,"{'bioguide': 'B001302', 'govtrack': 412683}",Andy Biggs,R,RepAndyBiggsAZ,AZ,member
39,"{'office': [{'id': 816652616625168400, 'id_str': '816652616625168388', 'screen_name': 'RepAndyBiggsAZ'}], 'campaign': [{'id': 702601370344403000, 'id_str': '702601370344402944', 'screen_name': 'andybiggs4az'}], 'index': 27}",yes,house,"{'bioguide': 'B001302', 'govtrack': 412683}",Andy Biggs,R,andybiggs4az,AZ,member
40,"{'office': [{'id': 229197216, 'id_str': '229197216', 'screen_name': 'RepDavid'}], 'campaign': [{'id': 21509894, 'id_str': '21509894', 'screen_name': 'DavidSchweikert'}], 'index': 28}",no,house,"{'bioguide': 'S001183', 'govtrack': 412399}",David Schweikert,R,RepDavid,AZ,member
41,"{'office': [{'id': 229197216, 'id_str': '229197216', 'screen_name': 'RepDavid'}], 'campaign': [{'id': 21509894, 'id_str': '21509894', 'screen_name': 'DavidSchweikert'}], 'index': 28}",yes,house,"{'bioguide': 'S001183', 'govtrack': 412399}",David Schweikert,R,DavidSchweikert,AZ,member
42,"{'office': [{'id': 1080844782, 'id_str': '1080844782', 'screen_name': 'RepSinema'}], 'index': 29}",no,house,"{'bioguide': 'S001191', 'govtrack': 412509}",Kyrsten Sinema,D,RepSinema,AZ,member
43,"{'office': [{'id': 2964949642, 'id_str': '2964949642', 'screen_name': 'RepMcSally'}], 'campaign': [{'id': 482450423, 'id_str': '482450423', 'screen_name': 'MarthaMcSally'}], 'index': 30}",no,house,"{'bioguide': 'M001197', 'govtrack': 412611}",Martha McSally,R,RepMcSally,AZ,member
